GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
   293,07087, 0.0000000, 0.0152351, 0.0069318,     0,   243,  19106,  15950,  35056
   294,07087, 0.1368157, 0.2300940, 0.1792561,  2614,  3670,  19106,  15950,  35056
   295,07087, 0.0987124, 0.0052038, 0.0561673,  1886,    83,  19106,  15950,  35056
   645,07089, 0.0027789, 0.0080558, 0.0042159,   648,   703, 233185,  87266, 320451
   646,07087, 0.0000000, 0.0891536, 0.0405637,     0,  1422,  19106,  15950,  35056
   646,07089, 0.0000000, 0.0142438, 0.0038789,     0,  1243, 233185,  87266, 320451
   647,07087, 0.0000000, 0.3056426, 0.1390632,     0,  4875,  19106,  15950,  35056
   648,07087, 0.6940228, 0.2710345, 0.5015689, 13260,  4323,  19106,  15950,  35056
   997,07054, 0.0000000, 0.0298546, 0.0173861,     0,   462,  11098,  15475,  26573
   997,07089, 0.0037695, 0.0020741, 0.0033078,   879,   181, 233185,  87266, 320451
   998,07054, 0.0000000, 0.0001292, 0.0000753,     0,     2,  11098,  15475,  26573
   998,07089, 0.0344362, 0.0472578, 0.0379278,  8030,  4124, 233185,  87266, 320451
   999,07087, 0.0000000, 0.0005016, 0.0002282,     0,     8,  19106,  15950,  35056
   999,07089, 0.0000000, 0.0340224, 0.0092651,     0,  2969, 233185,  87266, 320451
  1000,07035, 0.0000000, 0.5009840, 0.3617845,     0,  4582,   3518,   9146,  12665
  1000,07087, 0.0000000, 0.0561129, 0.0255306,     0,   895,  19106,  15950,  35056
  1000,07089, 0.0000000, 0.0003782, 0.0001030,     0,    33, 233185,  87266, 320451
  1001,07035, 0.0076748, 0.2694074, 0.1966838,    27,  2464,   3518,   9146,  12665
  1001,07087, 0.0704491, 0.0270219, 0.0506903,  1346,   431,  19106,  15950,  35056
  1349,07054, 0.0000000, 0.0544750, 0.0317239,     0,   843,  11098,  15475,  26573
  1350,07054, 0.5752388, 0.3543134, 0.4465811,  6384,  5483,  11098,  15475,  26573
  1351,07054, 0.0000000, 0.0852342, 0.0496368,     0,  1319,  11098,  15475,  26573
  1351,07089, 0.0000000, 0.0544542, 0.0148291,     0,  4752, 233185,  87266, 320451
  1352,07089, 0.0000300, 0.1357000, 0.0369760,     7, 11842, 233185,  87266, 320451
  1353,07035, 0.3220580, 0.2296086, 0.2552704,  1133,  2100,   3518,   9146,  12665
  1353,07055, 0.5185774, 0.4814226, 1.0000000,  2610,  2423,   2610,   2423,   5033
  1353,07102, 0.0000000, 0.0829345, 0.0674934,     0,  2547,   7026,  30711,  37737
  1701,07040, 0.0000000, 0.0042947, 0.0016161,     0,    83,  32033,  19326,  51359
  1701,07054, 0.0000000, 0.0493699, 0.0287510,     0,   764,  11098,  15475,  26573
  1702,07054, 0.0000000, 0.1302100, 0.0758289,     0,  2015,  11098,  15475,  26573
  1703,07054, 0.4247612, 0.2538288, 0.3252173,  4714,  3928,  11098,  15475,  26573
  1703,07089, 0.0000000, 0.0000917, 0.0000250,     0,     8, 233185,  87266, 320451
  1704,07037, 0.0000000, 0.0008258, 0.0004500,     0,    16,  14069,  19375,  35558
  1704,07054, 0.0000000, 0.0425202, 0.0247620,     0,   658,  11098,  15475,  26573
  1704,07089, 0.0245170, 0.0551647, 0.0328631,  5717,  4814, 233185,  87266, 320451
  1705,07089, 0.6938354, 0.1022048, 0.5327210,161792,  8919, 233185,  87266, 320451
  1706,07089, 0.2012737, 0.0078266, 0.1485937, 46934,   683, 233185,  87266, 320451
  1706,07102, 0.1826075, 0.4866986, 0.4300819,  1283, 14947,   7026,  30711,  37737
  1707,07102, 0.0442642, 0.1372472, 0.1199353,   311,  4215,   7026,  30711,  37737
  2053,07040, 0.0000000, 0.0239574, 0.0090150,     0,   463,  32033,  19326,  51359
  2054,07040, 0.0000000, 0.0004657, 0.0001752,     0,     9,  32033,  19326,  51359
  2055,07037, 0.0000000, 0.0381419, 0.0207829,     0,   739,  14069,  19375,  35558
  2055,07040, 0.0000000, 0.0048122, 0.0018108,     0,    93,  32033,  19326,  51359
  2056,07037, 0.0223186, 0.3098322, 0.1776534,   314,  6003,  14069,  19375,  35558
  2056,07054, 0.0000000, 0.0000646, 0.0000376,     0,     1,  11098,  15475,  26573
  2057,07037, 0.9776814, 0.2707097, 0.5343382, 13755,  5245,  14069,  19375,  35558
  2057,07089, 0.0000000, 0.0040222, 0.0010953,     0,   351, 233185,  87266, 320451
  2058,07037, 0.0000000, 0.0196129, 0.0106868,     0,   380,  14069,  19375,  35558
  2058,07089, 0.0226044, 0.0704856, 0.0356435,  5271,  6151, 233185,  87266, 320451
  2059,07015, 0.5194751, 0.0133690, 0.2343247,  9936,   330,  19127,  24684,  43811
  2059,07089, 0.0167549, 0.0663603, 0.0302636,  3907,  5791, 233185,  87266, 320451
  2059,07102, 0.1628238, 0.1747582, 0.1725362,  1144,  5367,   7026,  30711,  37737
  2060,07015, 0.3469441, 0.0433479, 0.1758919,  6636,  1070,  19127,  24684,  43811
  2060,07102, 0.6103046, 0.1183615, 0.2099531,  4288,  3635,   7026,  30711,  37737
  2404,07003, 0.0000000, 0.0002118, 0.0001450,     0,     4,   8696,  18884,  27580
  2405,07003, 0.0000000, 0.0006884, 0.0004714,     0,    13,   8696,  18884,  27580
  2406,07071, 0.0000000, 0.0028988, 0.0021506,     0,    60,   7201,  20698,  27899
  2407,07040, 0.0000000, 0.0318742, 0.0119940,     0,   616,  32033,  19326,  51359
  2407,07071, 0.0000000, 0.0285535, 0.0211836,     0,   591,   7201,  20698,  27899
  2408,07037, 0.0000000, 0.0002581, 0.0001406,     0,     5,  14069,  19375,  35558
  2408,07040, 0.0000000, 0.5204388, 0.1958371,     0, 10058,  32033,  19326,  51359
  2409,07037, 0.0000000, 0.0326194, 0.0177738,     0,   632,  14069,  19375,  35558
