GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
   293,07087, 0.0000000, 0.0152351, 0.0069318,     0,   243,  19106,  15950,  35056
   294,07087, 0.1368157, 0.2300940, 0.0196099,  2614,  3670,  19106,  15950, 320451
   295,07087, 0.0987124, 0.0052038, 0.0561673,  1886,    83,  19106,  15950,  35056
   645,07089, 0.0027789, 0.0080558, 0.0385383,   648,   703, 233185,  87266,  35056
   646,07087, 0.0000000, 0.1670846, 0.0760212,     0,  2665,  19106,  15950,  35056
   647,07087, 0.0000000, 0.3056426, 0.1390632,     0,  4875,  19106,  15950,  35056
   648,07087, 0.6940228, 0.2710345, 0.0548695, 13260,  4323,  19106,  15950, 320451
   997,07054, 0.0792035, 0.0415509, 0.0434162,   879,   643,  11098,  15475,  35056
   998,07054, 0.7235538, 0.2666236, 0.0379340,  8030,  4126,  11098,  15475, 320451
   999,07087, 0.0000000, 0.1866458, 0.1120310,     0,  2977,  19106,  15950,  26573
  1000,07035, 0.0000000, 0.6024492, 0.2073533,     0,  5510,   3518,   9146,  26573
  1001,07035, 0.3902786, 0.3165318, 0.1606142,  1373,  2895,   3518,   9146,  26573
  1349,07054, 0.0000000, 0.0544750, 0.0317239,     0,   843,  11098,  15475,  26573
  1350,07054, 0.5752388, 0.3543134, 0.0370322,  6384,  5483,  11098,  15475, 320451
  1351,07054, 0.0000000, 0.3923102, 1.2062389,     0,  6071,  11098,  15475,   5033
  1352,07089, 0.0000300, 0.1357000, 0.4459037,     7, 11842, 233185,  87266,  26573
  1353,07035, 1.0639567, 0.7730155, 0.4069168,  3743,  7070,   3518,   9146,  26573
  1354,07035, 0.6702672, 0.0000000, 0.0887367,  2358,     0,   3518,   9146,  26573
  1701,07040, 0.0000000, 0.0438270, 0.0318745,     0,   847,  32033,  19326,  26573
  1702,07054, 0.0000000, 0.1302100, 0.0758289,     0,  2015,  11098,  15475,  26573
  1703,07054, 0.4247612, 0.2543457, 0.0269932,  4714,  3936,  11098,  15475, 320451
  1704,07037, 0.4063544, 0.2832516, 0.2969235,  5717,  5488,  14069,  19375,  37737
  1705,07089, 0.6938354, 0.1022048, 3.8965328,161792,  8919, 233185,  87266,  43811
  1706,07089, 0.2067757, 0.1791076, 1.2431512, 48217, 15630, 233185,  87266,  51359
  1707,07102, 0.0442642, 0.1372472, 0.0881248,   311,  4215,   7026,  30711,  51359
  2053,07040, 0.0000000, 0.0239574, 0.0090150,     0,   463,  32033,  19326,  51359
  2054,07040, 0.0000000, 0.0004657, 0.0001752,     0,     9,  32033,  19326,  51359
  2055,07037, 0.0000000, 0.0429419, 0.0161997,     0,   832,  14069,  19375,  51359
  2056,07037, 0.0223186, 0.3098839, 0.1776815,   314,  6004,  14069,  19375,  35558
  2057,07037, 0.9776814, 0.2888258, 0.6877421, 13755,  5596,  14069,  19375,  28137
  2058,07037, 0.3746535, 0.3370839, 0.3319084,  5271,  6531,  14069,  19375,  35558
  2059,07015, 0.7835521, 0.4654027, 0.6043003, 14987, 11488,  19127,  24684,  43811
  2060,07015, 0.5711298, 0.1906093, 0.0487719, 10924,  4705,  19127,  24684, 320451
  2404,07003, 0.0000000, 0.0002118, 0.0000125,     0,     4,   8696,  18884, 320451
  2405,07003, 0.0000000, 0.0006884, 0.0000406,     0,    13,   8696,  18884, 320451
  2406,07071, 0.0000000, 0.0028988, 0.0013695,     0,    60,   7201,  20698,  43811
  2407,07040, 0.0000000, 0.0624547, 0.0856697,     0,  1207,  32033,  19326,  14089
  2408,07037, 0.0000000, 0.5193806, 0.3648658,     0, 10063,  14069,  19375,  27580
  2409,07037, 0.0000000, 0.3996903, 0.2775727,     0,  7744,  14069,  19375,  27899
  2410,07037, 0.0000000, 0.4686968, 0.1768142,     0,  9081,  14069,  19375,  51359
  2411,07037, 0.0000000, 0.5321807, 0.2007633,     0, 10311,  14069,  19375,  51359
  2412,07015, 0.1335808, 0.6966456, 0.0616350,  2555, 17196,  19127,  24684, 320451
  2413,07015, 0.3359649, 0.6329201, 0.0688062,  6426, 15623,  19127,  24684, 320451
  2414,07105, 0.0007775, 0.0040481, 0.0001123,     5,    31,   6431,   7658, 320451
  2757,07003, 0.0000000, 0.0700064, 0.0041254,     0,  1322,   8696,  18884, 320451
  2758,07003, 0.0000000, 0.0311375, 0.0018349,     0,   588,   8696,  18884, 320451
  2759,07003, 0.0000000, 0.3070324, 0.0180933,     0,  5798,   8696,  18884, 320451
  2760,07071, 0.0008332, 0.3781525, 0.2840102,     6,  7827,   7201,  20698,  27580
  2761,07040, 0.0001249, 0.2591328, 0.1817259,     4,  5008,  32033,  19326,  27580
  2762,07040, 1.1693878, 0.5383939, 0.9319496, 37459, 10405,  32033,  19326,  51359
  2763,07089, 0.0000000, 0.0695574, 0.1181877,     0,  6070, 233185,  87266,  51359
  2764,07057, 0.0000000, 0.1080593, 0.1742190,     0,  4902,  23755,  45364,  28137
  2765,07015, 0.0000000, 0.2626803, 0.0938092,     0,  6484,  19127,  24684,  69119
  2766,07015, 0.0000000, 0.0052666, 0.0018808,     0,   130,  19127,  24684,  69119
  3108,07051, 0.0000000, 0.0003849, 0.0001447,     0,    10,  17931,  25982,  69119
  3109,07051, 0.0000000, 0.0148564, 0.0055846,     0,   386,  17931,  25982,  69119
  3110,07003, 0.0000000, 0.1041623, 0.0061382,     0,  1967,   8696,  18884, 320451
  3111,07003, 0.0000000, 0.2677929, 0.1151595,     0,  5057,   8696,  18884,  43913
  3112,07003, 0.7122815, 0.1458377, 0.2037665,  6194,  2754,   8696,  18884,  43913
  3113,07003, 0.6652484, 0.1893137, 0.2131487,  5785,  3575,   8696,  18884,  43913
  3114,07040, 0.0438922, 0.1934699, 0.1865482,  1406,  3739,  32033,  19326,  27580
