GRIDCODE,CVEID,Fb,,USs4ginCELL (m2),USs4ginMUNICIPIO (m2)
11157,12010,1.00000,,25077.9806,25077.9806
11157,12072,1.00000,,977050.998,977050.998
11549,20190,0.25460,,28827242.59,113227579
11549,20190,0.03067,,3473097.645,113227579
11550,20190,0.31510,,35677854.58,113227579
11550,20190,0.00803,,908806.1105,113227579
11551,20190,0.00148,,167641.6812,113227579
11901,20498,0.78650,,9293723.265,11816504.47
11902,20190,0.16626,,18824692.04,113227579
11902,20498,0.03020,,356799.4224,11816504.47
11903,20190,0.22387,,25348244.41,113227579
12254,20205,1.00000,,3263.524044,3263.524044
12254,20498,0.18330,,2165981.782,11816504.47
13335,27008,0.00059,,14488.97238,24581130.7
13356,07065,0.27845,,5181025.018,18606412.47
13356,07065,0.06870,,1278221.725,18606412.47
13356,07065,0.03757,,699016.0541,18606412.47
13686,27008,0.28044,,6893507.982,24581130.7
13686,27008,0.03630,,892375.997,24581130.7
13687,27008,0.02061,,506645.5083,24581130.7
13688,27008,0.11773,,2893847.734,24581130.7
13688,27008,0.01831,,449973.8418,24581130.7
13709,07065,0.45165,,8403581.365,18606412.47
13709,07065,0.00507,,94252.62924,18606412.47
13710,07065,0.02593,,482452.3423,18606412.47
13710,07065,0.02744,,510473.9987,18606412.47
13710,07065,0.04721,,878336.8168,18606412.47
13713,27001,0.22685,,670760.7675,2956879.646
13713,27001,0.13474,,398413.058,2956879.646
13714,27001,0.23002,,680127.3387,2956879.646
14039,27008,0.04508,,1108095.277,24581130.7
14040,27008,0.04076,,1001991.46,24581130.7
14041,27008,0.05081,,1249059.874,24581130.7
14041,27008,0.30120,,7403903.321,24581130.7
14062,07065,0.02897,,538963.8936,18606412.47
14062,07065,0.02903,,540088.6306,18606412.47
14066,27001,0.15506,,458488.6574,2956879.646
14067,27001,0.12548,,371022.2423,2956879.646
14067,27001,0.12786,,378067.5818,2956879.646
14394,27008,0.08817,,2167240.73,24581130.7
15095,30204,1.00000,,824791.878,824791.878
16894,04003,0.04625,,1206120.926,26080552.3
16895,04003,0.00409,,106707.5366,26080552.3
17247,04003,0.02240,,584112.2978,26080552.3
17247,04003,0.21168,,5520660.259,26080552.3
17248,04003,0.32787,,8551071.559,26080552.3
17600,04003,0.02523,,658122.1721,26080552.3
17601,04003,0.32383,,8445536.672,26080552.3
18223,21114,0.13126,,352890.9871,2688398.729
18577,21114,0.26888,,722843.515,2688398.729
18577,21114,0.38074,,1023573.913,2688398.729
18578,21015,0.00062,,30.85619621,49502.59309
18578,21015,0.99938,,49471.73689,49502.59309
18578,21114,0.12430,,334161.4374,2688398.729
18578,21114,0.09483,,254928.8762,2688398.729
19014,04003,0.03866,,1008220.88,26080552.3
19265,15118,1.00000,,437102.8149,437102.8149
19272,09013,0.87364,,579734.8825,663583.0415
19273,09011,0.84461,,105794.1882,125258.6885
19273,09013,0.12636,,83848.159,663583.0415
19275,15025,0.35861,,288869.6669,805533.6969
19623,09004,1.00000,,822742.1399,822742.1399
19623,09008,1.00000,,210260.009,210260.009
19623,09010,0.17818,,373501.5417,2096254.879
19623,09010,0.36017,,754999.9369,2096254.879
19623,09010,0.18857,,395293.4272,2096254.879
19624,09003,0.05328,,357527.8379,6709873.209
19624,09003,0.94672,,6352345.371,6709873.209
19624,09010,0.00015,,319.1857434,2096254.879
19624,09010,0.22533,,472351.2044,2096254.879
19624,09010,0.04760,,99789.58273,2096254.879
19625,09007,0.48424,,894108.2043,1846418.456
19626,09007,0.51576,,952310.2512,1846418.456
19626,09011,0.15539,,19464.50037,125258.6885
19627,15039,0.02408,,390269.4123,16208654.43
19627,15039,0.03311,,536695.43,16208654.43
19627,15070,1.00000,,36819.59215,36819.59215
19628,15025,0.01067,,8595.793714,805533.6969
19628,15025,0.15997,,128864.0119,805533.6969
19628,15039,0.00185,,30012.19551,16208654.43
19628,15039,0.12405,,2010618.373,16208654.43
19628,15039,0.02454,,397827.9526,16208654.43
19628,15039,0.09727,,1576667.768,16208654.43
19628,15039,0.04575,,741619.5583,16208654.43
19628,15039,0.11934,,1934375.098,16208654.43
19628,15039,0.03742,,606563.3662,16208654.43
19628,15039,0.04051,,656690.5458,16208654.43
19628,15039,0.00037,,5931.674905,16208654.43
19629,15025,0.02102,,16930.56408,805533.6969
19629,15025,0.44973,,362273.6593,805533.6969
19629,15039,0.01740,,282052.5335,16208654.43
19629,15039,0.00522,,84675.97367,16208654.43
19629,15039,0.01678,,271935.5864,16208654.43
19629,15039,0.00793,,128537.3104,16208654.43
19629,15039,0.02512,,407158.3907,16208654.43
19629,15039,0.07092,,1149494.366,16208654.43
19629,15039,0.00285,,46117.24764,16208654.43
19630,15039,0.04053,,656884.262,16208654.43
19633,29015,1.00000,,715038.021,715038.021
19964,16112,0.90067,,3021093.405,3354267.577
19964,16112,0.09933,,333174.1725,3354267.577
19966,15111,0.93819,,1663570.2,1773168.064
19967,15111,0.06181,,109597.8637,1773168.064
