 GRID, CVE_ENT_MUN, Fv, Fc
       13142
         294 ,        7087 ,  9.5367543E-02 ,  0.2379245    
         295 ,        7087 ,  6.5155327E-02 ,  2.1686065E-03
         645 ,        7089 ,  9.6831098E-03 ,  9.9787666E-03
         646 ,        7089 ,  0.0000000E+00 ,  4.9534917E-02
         647 ,        7087 ,  0.0000000E+00 ,  1.6662223E-03
         648 ,        7087 ,  0.7669584     ,  0.2712534    
         997 ,        7089 ,  4.5467778E-03 ,  0.1687128    
         998 ,        7089 ,  4.8212547E-02 ,  0.1073267    
         999 ,        7089 ,  0.0000000E+00 ,  5.8656085E-02
        1000 ,        7035 ,  0.0000000E+00 ,  0.6248095    
        1001 ,        7087 ,  7.2518766E-02 ,  0.2560951    
        1349 ,        7054 ,  0.0000000E+00 ,  0.1832515    
        1350 ,        7054 ,  0.6283432     ,  0.2667640    
        1351 ,        7089 ,  0.0000000E+00 ,  9.6744336E-02
        1352 ,        7089 ,  8.1468905E-05 ,  0.1020941    
        1353 ,        7055 ,   1.000000     ,   3.513032    
        1354 ,        7035 ,  0.6915218     ,  6.3882269E-02
        1701 ,        7054 ,  0.0000000E+00 ,  9.3191274E-02
        1702 ,        7054 ,  0.0000000E+00 ,  1.9291766E-02
        1703 ,        7054 ,  0.3716567     ,  0.3128066    
        1704 ,        7089 ,  3.3444226E-02 ,  8.9324050E-02
        1705 ,        7089 ,  0.6400348     ,  0.1725061    
        1706 ,        7102 ,  0.1568317     ,  0.5055637    
        1707 ,        7102 ,  7.3258504E-02 ,  0.1570226    
        2056 ,        7037 ,  3.5402086E-02 ,  0.1379402    
        2057 ,        7037 ,  0.9645980     ,  0.5013672    
        2058 ,        7089 ,  2.4517410E-02 ,  2.3210289E-02
        2059 ,        7102 ,  0.2147268     ,  7.7243246E-02
        2060 ,        7102 ,  0.5551830     ,  0.1691350    
        2409 ,        7103 ,  0.0000000E+00 ,  0.3174765    
        2410 ,        7103 ,  0.0000000E+00 ,  0.5047350    
        2411 ,        7089 ,  0.0000000E+00 ,  9.9158317E-02
        2412 ,        7089 ,  9.6432638E-04 ,  3.7846923E-02
        2413 ,        7105 ,  0.9956545     ,   1.346532    
        2414 ,        7105 ,  4.3455046E-03 ,  0.0000000E+00
        2758 ,        7003 ,  0.0000000E+00 ,  4.4288334E-02
        2760 ,        7071 ,  1.3116690E-03 ,  0.0000000E+00
        2761 ,        7071 ,  1.0148939E-03 ,   1.111950    
        2762 ,        7103 ,   1.000000     ,  0.6855468    
        2763 ,        7103 ,  0.0000000E+00 ,  0.1970154    
        2764 ,        7089 ,  0.0000000E+00 ,  2.2679120E-02
        2765 ,        7089 ,  0.0000000E+00 ,  4.5455400E-02
        3111 ,        7003 ,  0.0000000E+00 ,  0.1821536    
        3112 ,        7003 ,  0.5606213     ,  0.2186643    
        3113 ,        7071 ,  0.8997805     ,   1.185450    
        3114 ,        7071 ,  9.7892933E-02 ,  0.1174030    
        3115 ,        7057 ,  0.0000000E+00 ,  0.1292525    
        3116 ,        7057 ,  0.0000000E+00 ,  5.6385784E-03
        3117 ,        7057 ,  0.0000000E+00 ,  4.5494892E-02
        3118 ,        7057 ,  0.0000000E+00 ,  0.1571984    
        3461 ,        7051 ,  0.0000000E+00 ,  3.9804500E-02
        3462 ,        7051 ,  0.0000000E+00 ,  0.1318794    
        3464 ,        7003 ,  0.2510077     ,  0.4618538    
        3465 ,        7032 ,  0.8352047     ,   1.231659    
        3466 ,        7032 ,  3.4418676E-04 ,  0.2538440    
        3467 ,        7032 ,  0.1644511     ,  0.1879567    
        3468 ,        7057 ,  0.0000000E+00 ,  5.9536099E-02
        3469 ,        7057 ,  0.0000000E+00 ,  0.1919674    
        3470 ,        7057 ,  0.0000000E+00 ,  0.2285888    
        3471 ,        7053 ,  0.0000000E+00 ,  0.2410148    
        3812 ,        7069 ,  0.0000000E+00 ,  5.6304708E-02
        3813 ,        7051 ,  0.0000000E+00 ,  0.1060119    
        3814 ,        7051 ,  0.0000000E+00 ,  5.7654589E-02
        3815 ,        7051 ,  0.9700980     ,  0.1909920    
        3816 ,        7051 ,  2.9197697E-02 ,  0.2505488    
        3817 ,        7051 ,  0.0000000E+00 ,  0.1604068    
        3822 ,        7057 ,  0.0000000E+00 ,  0.1536440    
        3823 ,        7057 ,   1.000000     ,  0.1610645    
        3824 ,        7053 ,   1.000000     ,  0.1356419    
        4122 ,       20439 ,  0.0000000E+00 ,  6.6588633E-02
        4123 ,       20439 ,  0.0000000E+00 ,  0.1299845    
        4124 ,       20439 ,  0.0000000E+00 ,  0.2540352    
        4125 ,       20439 ,  1.6583401E-03 ,  0.2793916    
        4126 ,       20324 ,  0.0000000E+00 ,  9.9655300E-02
        4128 ,       20413 ,  0.0000000E+00 ,  4.9620096E-02
        4164 ,        7069 ,  0.0000000E+00 ,  1.0797660E-02
        4165 ,        7069 ,  0.0000000E+00 ,  9.1797402E-03
        4167 ,        7051 ,  0.0000000E+00 ,  0.2336244    
        4168 ,        7051 ,  7.0427853E-04 ,  0.2568122    
        4175 ,        7080 ,  0.0000000E+00 ,  0.5515563    
        4176 ,        7070 ,   1.000000     ,   1.359265    
        4177 ,        7010 ,   1.000000     ,  0.5902695    
        4178 ,        7006 ,  0.3134252     ,  0.3510952    
        4472 ,       20401 ,  0.0000000E+00 ,  0.1219278    
        4473 ,       20401 ,  0.0000000E+00 ,  0.1916407    
        4474 ,       20401 ,  0.0000000E+00 ,  0.3296491    
        4475 ,       20439 ,  0.0000000E+00 ,  0.2105195    
        4476 ,       20439 ,  0.0000000E+00 ,  5.0177552E-02
        4478 ,       20439 ,  0.9983417     ,  0.1900588    
        4479 ,       20324 ,  0.4184118     ,  0.2021283    
        4480 ,       20413 ,  0.0000000E+00 ,  9.8663390E-02
        4481 ,       20413 ,  0.0000000E+00 ,  0.2183492    
        4482 ,       20413 ,  0.4852827     ,  0.1794782    
        4483 ,       20413 ,  0.2078800     ,  0.1922695    
        4517 ,        7069 ,  0.0000000E+00 ,  5.9461635E-02
        4518 ,        7069 ,  0.0000000E+00 ,  2.9386912E-02
        4519 ,        7069 ,  0.0000000E+00 ,  0.1539969    
        4520 ,        7069 ,  0.0000000E+00 ,  5.1586647E-02
        4528 ,        7080 ,   1.000000     ,  0.3145664    
        4529 ,        7036 ,  0.9877564     ,   1.099494    
        4530 ,        7006 ,  0.0000000E+00 ,  0.1904311    
        4531 ,        7006 ,  0.0000000E+00 ,  0.1821446    
        4824 ,       20401 ,  0.2859897     ,  0.3179635    
        4825 ,       20401 ,  0.6189460     ,  0.3083896    
        4826 ,       20401 ,  9.5064327E-02 ,  6.4134605E-02
        4827 ,       20401 ,  0.0000000E+00 ,  6.3048601E-02
        4829 ,       20509 ,   1.000000     ,   1.583630    
        4831 ,       20324 ,  0.0000000E+00 ,  9.9020153E-02
        4832 ,       20324 ,  0.0000000E+00 ,  9.1368146E-02
        4833 ,       20413 ,  0.3068374     ,  0.1710746    
        4834 ,       20266 ,  0.0000000E+00 ,  0.2847100    
        4836 ,       20413 ,  0.0000000E+00 ,  0.1093443    
        4837 ,       20307 ,  0.0000000E+00 ,  0.2840639    
        4838 ,       20307 ,  0.0000000E+00 ,  9.3199965E-03
        4870 ,        7069 ,  0.8485284     ,  0.1653815    
        4871 ,        7069 ,  0.1514716     ,  9.5786139E-02
        4877 ,        7117 ,  0.4873706     ,  0.0000000E+00
        4878 ,        7117 ,  0.1038189     ,  0.0000000E+00
        4882 ,        7011 ,  5.1182870E-02 ,  0.1212418    
        4883 ,        7034 ,  0.3703541     ,   1.723293    
        4884 ,        7006 ,  0.6807043     ,  2.5149316E-02
        4885 ,        7006 ,  5.8704708E-03 ,  0.1305868    
        5172 ,       20334 ,  0.0000000E+00 ,  3.3068750E-02
        5173 ,       20334 ,  2.3523816E-03 ,  5.4801490E-02
        5174 ,       20334 ,  0.0000000E+00 ,  8.1688419E-02
        5175 ,       20334 ,  0.0000000E+00 ,  8.9701951E-02
        5176 ,       20318 ,  0.0000000E+00 ,  0.2042768    
        5177 ,       20318 ,  0.2416451     ,  0.3495257    
        5178 ,       20318 ,  0.0000000E+00 ,  0.1360366    
        5181 ,       20117 ,  0.4015961     ,  0.0000000E+00
        5182 ,       20117 ,  0.5984039     ,  0.0000000E+00
        5184 ,       20071 ,  6.7163468E-03 ,  0.9564272    
        5185 ,       20071 ,  0.9932837     ,  0.5093586    
        5186 ,       20324 ,  0.0000000E+00 ,  2.0428349E-03
        5187 ,       20266 ,  0.0000000E+00 ,  0.2023668    
        5188 ,       20266 ,   1.000000     ,  0.2325707    
        5189 ,       20266 ,  0.0000000E+00 ,  0.2110215    
        5190 ,       20307 ,  0.0000000E+00 ,  0.1929941    
        5191 ,       20307 ,  0.0000000E+00 ,  0.1800976    
        5192 ,       20307 ,  0.0000000E+00 ,  0.1882639    
        5193 ,       20307 ,  0.0000000E+00 ,  7.5881526E-02
        5218 ,        7097 ,  0.0000000E+00 ,  1.7290488E-03
        5219 ,        7097 ,  0.0000000E+00 ,  2.5851822E-02
        5220 ,        7097 ,  0.0000000E+00 ,  2.3056318E-03
        5221 ,        7069 ,  0.0000000E+00 ,  0.1098745    
        5222 ,        7069 ,  0.0000000E+00 ,  0.1412652    
        5223 ,        7069 ,  0.0000000E+00 ,  9.0282848E-03
        5230 ,        7117 ,  0.2893179     ,  0.0000000E+00
        5231 ,        7117 ,  0.1194926     ,   1.000000    
        5234 ,        7030 ,  0.5175803     ,  3.8590934E-02
        5235 ,        7030 ,  0.1130985     ,   1.363262    
        5236 ,        7034 ,  0.2801219     ,  0.5703226    
        5237 ,        7034 ,  0.0000000E+00 ,  0.1698246    
        5238 ,        7034 ,  0.3495240     ,  0.2323167    
        5523 ,       20334 ,  4.3711087E-04 ,  5.0969969E-02
        5524 ,       20334 ,  0.0000000E+00 ,  9.9116981E-02
        5525 ,       20334 ,  0.0000000E+00 ,  8.5069031E-02
        5526 ,       20334 ,  0.5123892     ,  0.4330818    
        5530 ,       20153 ,  0.0000000E+00 ,  0.6242743    
        5531 ,       20159 ,  0.0000000E+00 ,  3.3157803E-02
        5536 ,       20085 ,   1.000000     ,  0.5103971    
        5537 ,       20306 ,   1.000000     ,   1.729391    
        5539 ,       20253 ,   1.000000     ,  0.0000000E+00
        5540 ,       20495 ,   1.000000     ,  0.0000000E+00
        5542 ,       20266 ,  0.0000000E+00 ,  0.1825007    
        5546 ,       20307 ,  0.0000000E+00 ,  0.1727302    
        5547 ,       20453 ,   1.000000     ,  0.2583045    
        5548 ,       20453 ,  0.0000000E+00 ,  0.5055427    
        5549 ,       20515 ,  0.0000000E+00 ,  9.5429964E-02
        5550 ,       20515 ,  0.0000000E+00 ,  1.1477006E-02
        5570 ,        7097 ,  0.0000000E+00 ,  3.9994933E-02
        5571 ,        7097 ,  0.0000000E+00 ,  3.1172365E-02
        5572 ,        7097 ,  7.5295009E-02 ,  2.7684225E-02
        5573 ,        7097 ,  7.5204827E-02 ,  9.7123958E-02
        5574 ,        7097 ,  0.0000000E+00 ,  3.9279956E-02
        5582 ,        7008 ,  0.2703798     ,  0.6552486    
        5587 ,        7030 ,  0.2805880     ,  0.3931831    
        5588 ,        7030 ,  2.4805471E-02 ,  0.0000000E+00
        5591 ,        7034 ,  0.0000000E+00 ,  0.1743003    
        5872 ,       20414 ,  0.0000000E+00 ,  1.8703073E-02
        5873 ,       20414 ,  0.0000000E+00 ,  0.1274623    
        5875 ,       20467 ,  0.0000000E+00 ,  0.1001874    
        5876 ,       20334 ,  0.1849557     ,  6.4728558E-02
        5877 ,       20334 ,  0.2998656     ,  0.1306792    
