GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMZ
353,226,"EI 2016 emissions for Mexico Area V4.0",,,,
0,-116.620885,14.169697,6,0,912321.7742,323649.0616,11
1,-116.538572,14.177889,6,0,921321.7742,323649.0616,11
2,-116.45625,14.186036,6,0,930321.7742,323649.0616,11
3,-116.373918,14.194137,6,0,939321.7742,323649.0616,11
4,-116.291577,14.202192,6,0,948321.7742,323649.0616,11
5,-116.209226,14.210201,6,0,957321.7742,323649.0616,11
6,-116.126866,14.218164,6,0,966321.7742,323649.0616,11
7,-116.044497,14.226081,6,0,975321.7742,323649.0616,11
8,-115.962118,14.233951,6,0,984321.7742,323649.0616,11
9,-115.87973,14.241776,6,0,993321.7742,323649.0616,11
10,-115.797333,14.249555,6,0,1002321.774,323649.0616,11
11,-115.714927,14.257288,6,0,1011321.774,323649.0616,11
12,-115.632512,14.264975,6,0,1020321.774,323649.0616,11
13,-115.550087,14.272616,6,0,1029321.774,323649.0616,11
14,-115.467654,14.280211,6,0,1038321.774,323649.0616,11
15,-115.385212,14.28776,6,0,1047321.774,323649.0616,11
16,-115.30276,14.295262,6,0,1056321.774,323649.0616,11
17,-115.2203,14.302719,6,0,1065321.774,323649.0616,11
18,-115.137832,14.310129,6,0,1074321.774,323649.0616,11
19,-115.055354,14.317494,6,0,1083321.774,323649.0616,11
20,-114.972868,14.324812,6,0,1092321.774,323649.0616,11
21,-114.890373,14.332084,6,0,1101321.774,323649.0616,11
22,-114.80787,14.33931,6,0,1110321.774,323649.0616,11
23,-114.725358,14.34649,6,0,1119321.774,323649.0616,11
24,-114.642838,14.353624,6,0,1128321.774,323649.0616,11
25,-114.560309,14.360712,6,0,1137321.774,323649.0616,11
26,-114.477772,14.367753,6,0,1146321.774,323649.0616,11
27,-114.395227,14.374748,6,0,1155321.774,323649.0616,11
28,-114.312674,14.381697,6,0,1164321.774,323649.0616,11
29,-114.230112,14.3886,6,0,1173321.774,323649.0616,11
30,-114.147542,14.395457,6,0,1182321.774,323649.0616,11
31,-114.064964,14.402267,6,0,1191321.774,323649.0616,11
32,-113.982378,14.409032,6,0,1200321.774,323649.0616,12
33,-113.899785,14.41575,6,0,1209321.774,323649.0616,12
34,-113.817183,14.422421,6,0,1218321.774,323649.0616,12
35,-113.734573,14.429047,6,0,1227321.774,323649.0616,12
36,-113.651956,14.435626,6,0,1236321.774,323649.0616,12
37,-113.569331,14.442159,6,0,1245321.774,323649.0616,12
38,-113.486698,14.448646,6,0,1254321.774,323649.0616,12
39,-113.404057,14.455086,6,0,1263321.774,323649.0616,12
40,-113.321409,14.46148,6,0,1272321.774,323649.0616,12
41,-113.238753,14.467828,6,0,1281321.774,323649.0616,12
42,-113.15609,14.474129,6,0,1290321.774,323649.0616,12
43,-113.07342,14.480384,6,0,1299321.774,323649.0616,12
44,-112.990742,14.486593,6,0,1308321.774,323649.0616,12
45,-112.908057,14.492755,6,0,1317321.774,323649.0616,12
46,-112.825364,14.498872,6,0,1326321.774,323649.0616,12
47,-112.742664,14.504941,6,0,1335321.774,323649.0616,12
48,-112.659957,14.510965,6,0,1344321.774,323649.0616,12
49,-112.577243,14.516942,6,0,1353321.774,323649.0616,12
50,-112.494522,14.522872,6,0,1362321.774,323649.0616,12
51,-112.411794,14.528756,6,0,1371321.774,323649.0616,12
52,-112.329059,14.534594,6,0,1380321.774,323649.0616,12
53,-112.246318,14.540386,6,0,1389321.774,323649.0616,12
54,-112.163569,14.54613,6,0,1398321.774,323649.0616,12
55,-112.080813,14.551829,6,0,1407321.774,323649.0616,12
56,-111.998051,14.557481,6,0,1416321.774,323649.0616,12
57,-111.915282,14.563087,6,0,1425321.774,323649.0616,12
58,-111.832507,14.568646,6,0,1434321.774,323649.0616,12
59,-111.749725,14.574159,6,0,1443321.774,323649.0616,12
60,-111.666936,14.579625,6,0,1452321.774,323649.0616,12
61,-111.584141,14.585045,6,0,1461321.774,323649.0616,12
62,-111.50134,14.590418,6,0,1470321.774,323649.0616,12
63,-111.418532,14.595745,6,0,1479321.774,323649.0616,12
64,-111.335718,14.601026,6,0,1488321.774,323649.0616,12
65,-111.252898,14.606259,6,0,1497321.774,323649.0616,12
66,-111.170071,14.611447,6,0,1506321.774,323649.0616,12
67,-111.087239,14.616588,6,0,1515321.774,323649.0616,12
68,-111.0044,14.621682,6,0,1524321.774,323649.0616,12
69,-110.921555,14.62673,6,0,1533321.774,323649.0616,12
70,-110.838705,14.631731,6,0,1542321.774,323649.0616,12
71,-110.755848,14.636686,6,0,1551321.774,323649.0616,12
72,-110.672986,14.641594,6,0,1560321.774,323649.0616,12
73,-110.590118,14.646456,6,0,1569321.774,323649.0616,12
74,-110.507244,14.651271,6,0,1578321.774,323649.0616,12
75,-110.424364,14.656039,6,0,1587321.774,323649.0616,12
76,-110.341479,14.660761,6,0,1596321.774,323649.0616,12
77,-110.258588,14.665437,6,0,1605321.774,323649.0616,12
78,-110.175692,14.670065,6,0,1614321.774,323649.0616,12
79,-110.09279,14.674647,6,0,1623321.774,323649.0616,12
80,-110.009883,14.679183,6,0,1632321.774,323649.0616,12
81,-109.92697,14.683672,6,0,1641321.774,323649.0616,12
82,-109.844052,14.688114,6,0,1650321.774,323649.0616,12
83,-109.761129,14.69251,6,0,1659321.774,323649.0616,12
84,-109.678201,14.696859,6,0,1668321.774,323649.0616,12
85,-109.595267,14.701162,6,0,1677321.774,323649.0616,12
86,-109.512329,14.705417,6,0,1686321.774,323649.0616,12
87,-109.429385,14.709627,6,0,1695321.774,323649.0616,12
88,-109.346437,14.713789,6,0,1704321.774,323649.0616,12
89,-109.263483,14.717905,6,0,1713321.774,323649.0616,12
90,-109.180525,14.721974,6,0,1722321.774,323649.0616,12
91,-109.097562,14.725997,6,0,1731321.774,323649.0616,12
92,-109.014594,14.729973,6,0,1740321.774,323649.0616,12
93,-108.931621,14.733902,6,0,1749321.774,323649.0616,12
94,-108.848644,14.737785,6,0,1758321.774,323649.0616,12
95,-108.765662,14.74162,6,0,1767321.774,323649.0616,12
96,-108.682675,14.74541,6,0,1776321.774,323649.0616,12
97,-108.599685,14.749152,6,0,1785321.774,323649.0616,12
98,-108.516689,14.752848,6,0,1794321.774,323649.0616,12
99,-108.43369,14.756497,6,0,1803321.774,323649.0616,12
100,-108.350686,14.760099,6,0,1812321.774,323649.0616,12
101,-108.267678,14.763655,6,0,1821321.774,323649.0616,12
102,-108.184665,14.767164,6,0,1830321.774,323649.0616,12
103,-108.101649,14.770626,6,0,1839321.774,323649.0616,12
104,-108.018628,14.774042,6,0,1848321.774,323649.0616,12
105,-107.935603,14.77741,6,0,1857321.774,323649.0616,13
106,-107.852574,14.780732,6,0,1866321.774,323649.0616,13
107,-107.769542,14.784008,6,0,1875321.774,323649.0616,13
108,-107.686505,14.787236,6,0,1884321.774,323649.0616,13
109,-107.603465,14.790418,6,0,1893321.774,323649.0616,13
110,-107.520421,14.793553,6,0,1902321.774,323649.0616,13
111,-107.437373,14.796641,6,0,1911321.774,323649.0616,13
112,-107.354322,14.799682,6,0,1920321.774,323649.0616,13
113,-107.271267,14.802677,6,0,1929321.774,323649.0616,13
114,-107.188208,14.805625,6,0,1938321.774,323649.0616,13
115,-107.105146,14.808526,6,0,1947321.774,323649.0616,13
116,-107.022081,14.81138,6,0,1956321.774,323649.0616,13
117,-106.939012,14.814188,6,0,1965321.774,323649.0616,13
118,-106.85594,14.816949,6,0,1974321.774,323649.0616,13
119,-106.772865,14.819663,6,0,1983321.774,323649.0616,13
120,-106.689786,14.82233,6,0,1992321.774,323649.0616,13
121,-106.606704,14.82495,6,0,2001321.774,323649.0616,13
122,-106.52362,14.827524,6,0,2010321.774,323649.0616,13
123,-106.440532,14.830051,6,0,2019321.774,323649.0616,13
124,-106.357441,14.832531,6,0,2028321.774,323649.0616,13
125,-106.274347,14.834964,6,0,2037321.774,323649.0616,13
126,-106.19125,14.83735,6,0,2046321.774,323649.0616,13
127,-106.108151,14.83969,6,0,2055321.774,323649.0616,13
128,-106.025049,14.841982,6,0,2064321.774,323649.0616,13
129,-105.941944,14.844228,6,0,2073321.774,323649.0616,13
130,-105.858836,14.846427,6,0,2082321.774,323649.0616,13
131,-105.775726,14.848579,6,0,2091321.774,323649.0616,13
132,-105.692613,14.850685,6,0,2100321.774,323649.0616,13
133,-105.609498,14.852743,6,0,2109321.774,323649.0616,13
134,-105.526381,14.854755,6,0,2118321.774,323649.0616,13
135,-105.443261,14.85672,6,0,2127321.774,323649.0616,13
136,-105.360138,14.858638,6,0,2136321.774,323649.0616,13
137,-105.277014,14.860509,6,0,2145321.774,323649.0616,13
138,-105.193887,14.862333,6,0,2154321.774,323649.0616,13
139,-105.110758,14.864111,6,0,2163321.774,323649.0616,13
140,-105.027627,14.865841,6,0,2172321.774,323649.0616,13
141,-104.944494,14.867525,6,0,2181321.774,323649.0616,13
142,-104.861359,14.869162,6,0,2190321.774,323649.0616,13
143,-104.778222,14.870752,6,0,2199321.774,323649.0616,13
144,-104.695083,14.872295,6,0,2208321.774,323649.0616,13
