LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
25.781388,-100.1886,39990001,,,3311.3,3190.5,,,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
25.590277,-100.0011,30600111,434.64,259.72,137.94,89.66,2089.95,1067.7,2,131,9.8425,566,2646.02,34.8,222.7,536.3
25.590277,-100.0011,30600105,41,24.5,13.01,8.46,197.16,100.73,3,98.4,6.5616,427,166.42,4.9,7,186.3
25.590277,-100.0011,30600111,104.56,62.48,33.18,21.57,502.77,256.85,2,144,14.763,654,954.81,5.6,106,431.4
25.590277,-100.0011,30600111,43.05,25.73,13.66,8.88,207.02,105.76,2,144,14.763,654,393.16,2.3,43.6,332.2
25.590277,-100.0011,30600105,35.54,21.24,11.28,7.33,170.88,87.3,3,98.4,6.5616,427,144.23,4.3,6,179
25.590277,-100.0011,30600105,35.54,21.24,11.28,7.33,170.88,87.3,3,98.4,6.5616,427,144.23,4.3,6,179
25.590277,-100.0011,30600111,46.47,27.77,14.75,9.59,223.45,114.16,3,98.4,6.5616,427,188.61,5.6,7.9,193
25.590277,-100.0011,30600111,60.14,35.94,19.09,12.41,289.17,147.73,3,98.4,6.5616,427,244.08,7.2,10.2,207.6
25.590277,-100.0011,30600111,18.45,11.03,5.86,3.81,88.72,45.33,2,131,14.763,935,168.5,1,33.1,303
25.590277,-100.0011,30600111,147.61,88.21,46.85,30.45,709.79,362.62,2,131,14.763,598,1347.97,7.9,126.6,451.1
25.590277,-100.0011,30600111,146.93,87.8,46.63,30.31,706.51,360.94,2,114,8.2021,519,745.41,14.1,52,340.5
31.863611,-116.6108,31499999,4.94,0.07,9.78,9.42,0.07,7750.4,4,29.8,1.8044,141,37.08,14.5,1.7,106.5
31.863611,-116.6108,30500606,,22.61,10.66,7.18,268.62,,3,74,3.2808,175,418.81,49.5,14.7,223.1
31.863611,-116.6108,30900199,,,880.92,528.55,,648.03,4,29.5,2.0997,177,86.45,25,3,126.8
31.863611,-116.6108,40400101,,,,,,686.89,7,10.4,0.5249,67.7,0.59,2.7,0,31.2
32.663333,-115.4677,10102101,0.19,50.99,0.67,0.66,29.25,0.02,3,45.9,10.301,265,2023.65,24.3,15.4,217.9
32.627777,-115.4588,30200701,,,12.34,0.43,,,3,63.8,2.6902,137,250.09,44,11.7,205.2
32.5875,-115.3886,30200701,1.29,17.43,1.61,1.41,28.86,0.07,3,63.8,2.6902,137,250.09,44,11.7,205.2
32.599444,-115.4111,30201901,10,76.67,34.02,21.78,659.74,0.48,3,35,1.8044,112,86.17,33.7,4.7,147.6
32.595277,-115.3613,30299999,0.83,9.13,5.58,4.88,10.05,0.21,3,49.1,1.8372,157,95.59,36.1,3.9,143.6
31.054166,-115.3977,30302401,2.52,10.28,494,144.25,34.46,0.11,3,40.2,3.2152,108,616.13,75.9,34.2,278.1
32.599444,-115.4016,30101801,,,,,,58.2,4,53.8,1.706,190,69,30.2,2.1,121.3
32.597777,-115.4213,30101801,,,,,,22.38,4,53.8,1.706,190,69,30.2,2.1,121.3
32.606388,-115.433,30101801,0.06,0.36,0.06,0.06,,13.71,4,53.8,1.706,190,69,30.2,2.1,121.3
32.6,-115.4033,30101401,0.11,0.68,0.02,0.02,,28.32,4,27.9,2.6902,126,81.31,14.3,4.1,139.2
